date,state,total,phase2,mysj,call,web,children,children_solo,adolescents,elderly,comorb,oku
2021-06-27,W.P. Kuala Lumpur,1486881,428636,1448433,1109,37339,0,0,75321,230283,312280,26237
2021-06-27,W.P. Labuan,57064,16995,51571,20,5473,0,0,3322,5973,13880,1165
2021-06-27,W.P. Putrajaya,80064,20693,78487,27,1550,0,0,7671,4682,18390,1401
2021-06-28,Johor,2087495,672120,1933544,1166,152785,0,0,104444,379509,487996,41389
2021-06-28,Kedah,962491,348231,873812,872,87807,0,0,42667,185455,270302,20879
2021-06-28,Kelantan,636116,227845,540846,432,94838,0,0,27871,121913,177038,13324
2021-06-28,Melaka,525605,184302,498804,447,26354,0,0,27984,99898,142028,14037
2021-06-28,Negeri Sembilan,651250,235553,610019,609,40622,0,0,35132,127439,183852,14402
2021-06-28,Pahang,769936,269186,640937,610,128389,0,0,32418,147315,202338,16961
2021-06-28,Perak,1177117,461999,1067835,1436,107846,0,0,47773,280701,344080,23582
2021-06-28,Perlis,131463,53258,117324,158,13981,0,0,6563,26743,42756,3521
2021-06-28,Pulau Pinang,1041688,337712,1001039,746,39903,0,0,41331,197817,240680,20537
2021-06-28,Sabah,879982,264260,805446,281,74255,0,0,32861,124300,206559,12301
2021-06-28,Sarawak,1635984,531471,1334505,440,301039,0,0,84691,282907,394822,21693
2021-06-28,Selangor,4005368,1121388,3888484,2291,114593,0,0,246430,542912,862546,67827
2021-06-28,Terengganu,490963,157773,433752,285,56926,0,0,25090,76962,125950,10120
2021-06-28,W.P. Kuala Lumpur,1497428,431003,1458596,1112,37720,0,0,76584,230951,314233,26476
2021-06-28,W.P. Labuan,57483,17029,51976,20,5487,0,0,3375,5965,13910,1169
2021-06-28,W.P. Putrajaya,80395,20775,78807,28,1560,0,0,7771,4687,18470,1405
2021-06-29,Johor,2102899,675675,1945230,1172,156497,0,0,106451,381269,490448,41749
2021-06-29,Kedah,968450,350373,878944,885,88621,0,0,43322,186563,271916,21054
2021-06-29,Kelantan,640345,229152,544113,440,95792,0,0,28216,122651,177985,13420
2021-06-29,Melaka,529308,185424,502314,445,26549,0,0,28414,100403,142917,14184
2021-06-29,Negeri Sembilan,655865,237112,614404,604,40857,0,0,35676,128125,185140,14533
2021-06-29,Pahang,775128,270715,644854,615,129659,0,0,32969,148111,203446,17083
2021-06-29,Perak,1183856,464445,1073431,1444,108981,0,0,48469,282075,345917,23736
2021-06-29,Perlis,132250,53581,117978,167,14105,0,0,6655,26879,43018,3552
2021-06-29,Pulau Pinang,1047169,339325,1006218,760,40191,0,0,41861,198644,241898,20683
2021-06-29,Sabah,885878,265756,810634,283,74961,0,0,33250,124933,207747,12385
2021-06-29,Sarawak,1644185,533188,1343357,454,300374,0,0,85966,283449,396215,21841
2021-06-29,Selangor,4034146,1128220,3916642,2333,115171,0,0,250123,545252,867850,68655
2021-06-29,Terengganu,494627,159020,436692,291,57644,0,0,25526,77603,126876,10233
2021-06-29,W.P. Kuala Lumpur,1510264,433465,1471085,1127,38052,0,0,77823,231791,316062,26845
2021-06-29,W.P. Labuan,57714,17059,52207,20,5487,0,0,3404,5978,13933,1172
2021-06-29,W.P. Putrajaya,80811,20877,79216,28,1567,0,0,7865,4705,18550,1428
2021-06-30,Johor,2116854,679038,1955839,1196,159819,0,0,108344,382938,492803,42101
2021-06-30,Kedah,973717,352241,883693,890,89134,0,0,43883,187560,273302,21206
2021-06-30,Kelantan,644190,230347,547109,439,96642,0,0,28550,123324,178830,13525
2021-06-30,Melaka,533279,186643,506016,453,26810,0,0,28879,101001,143839,14325
2021-06-30,Negeri Sembilan,660098,238563,618412,616,41070,0,0,36158,128792,186290,14664
2021-06-30,Pahang,781040,271875,648277,625,132138,0,0,35247,148659,204348,17188
2021-06-30,Perak,1191649,467301,1080112,1476,110061,0,0,49206,283690,348009,23980
2021-06-30,Perlis,132943,53885,118552,169,14222,0,0,6739,27031,43260,3584
2021-06-30,Pulau Pinang,1052554,341010,1011311,772,40471,0,0,42434,199505,243213,20820
2021-06-30,Sabah,891014,267105,815165,290,75559,0,0,33624,125548,208778,12481
2021-06-30,Sarawak,1651846,534792,1351448,471,299927,0,0,87185,284015,397481,22006
2021-06-30,Selangor,4059311,1134230,3940973,2358,115980,0,0,253157,547398,872620,69254
2021-06-30,Terengganu,498323,160265,439479,296,58548,0,0,25898,78225,127833,10337
2021-06-30,W.P. Kuala Lumpur,1520708,435573,1481249,1136,38323,0,0,78754,232558,317655,27124
2021-06-30,W.P. Labuan,57890,17065,52398,20,5472,0,0,3427,5987,13933,1174
2021-06-30,W.P. Putrajaya,81344,20986,79749,31,1564,0,0,7962,4709,18649,1444
2021-07-01,Johor,2129303,681953,1965129,1200,162974,0,0,110057,384310,494894,42370
2021-07-01,Kedah,978855,354036,888325,903,89627,0,0,44383,188487,274625,21349
2021-07-01,Kelantan,648221,231582,550446,442,97333,0,0,28903,124028,179693,13607
2021-07-01,Melaka,536340,187693,508854,460,27026,0,0,29252,101506,144672,14423
2021-07-01,Negeri Sembilan,664022,239848,622265,626,41131,0,0,36611,129414,187270,14799
2021-07-01,Pahang,787695,272993,651716,633,135346,0,0,38476,149198,205180,17284
2021-07-01,Perak,1199830,470320,1087308,1494,111028,0,0,49979,285440,350287,24209
2021-07-01,Perlis,133918,54267,119498,170,14250,0,0,6847,27212,43560,3615
2021-07-01,Pulau Pinang,1057689,342661,1016381,776,40532,0,0,42922,200346,244445,20960
2021-07-01,Sabah,895296,268269,819031,293,75972,0,0,33884,126043,209672,12557
2021-07-01,Sarawak,1659051,536265,1359188,487,299376,0,0,88152,284523,398683,22125
2021-07-01,Selangor,4083564,1140343,3964554,2400,116610,0,0,256062,549470,877523,69839
2021-07-01,Terengganu,501958,161367,442407,297,59254,0,0,26297,78812,128689,10407
2021-07-01,W.P. Kuala Lumpur,1530314,437716,1490797,1141,38376,0,0,79694,233358,319253,27400
2021-07-01,W.P. Labuan,58057,17079,52571,20,5466,0,0,3442,5988,13943,1174
2021-07-01,W.P. Putrajaya,82079,21141,80485,30,1564,0,0,8114,4733,18788,1462
2021-07-02,Johor,2142297,684893,1975221,1195,165881,0,0,111870,385713,496987,42606
2021-07-02,Kedah,984585,355893,893820,905,89860,0,0,45010,189413,276063,21524
2021-07-02,Kelantan,651594,232513,553515,439,97640,0,0,29217,124495,180395,13688
2021-07-02,Melaka,539388,188628,511746,475,27167,0,0,29627,101974,145392,14507
2021-07-02,Negeri Sembilan,667955,241114,626182,629,41144,0,0,37133,129989,188288,14902
2021-07-02,Pahang,792061,274055,655937,638,135486,0,0,39219,149682,205984,17373
2021-07-02,Perak,1208111,473268,1094733,1509,111869,0,0,50857,287042,352452,24435
2021-07-02,Perlis,134963,54675,120340,170,14453,0,0,6957,27424,43896,3636
2021-07-02,Pulau Pinang,1063765,344548,1022328,777,40660,0,0,43578,201261,245806,21148
2021-07-02,Sabah,900021,269432,823292,296,76433,0,0,34186,126518,210597,12631
2021-07-02,Sarawak,1665683,537546,1366011,476,299196,0,0,89092,285030,399651,22246
2021-07-02,Selangor,4106297,1145726,3987063,2419,116815,0,0,259047,551505,881778,70437
2021-07-02,Terengganu,505909,162475,445328,301,60280,0,0,26860,79365,129513,10511
2021-07-02,W.P. Kuala Lumpur,1542898,440056,1503250,1142,38506,0,0,80875,234187,321035,27691
2021-07-02,W.P. Labuan,58179,17093,52702,20,5457,0,0,3461,5997,13951,1174
2021-07-02,W.P. Putrajaya,82696,21288,81112,30,1554,0,0,8228,4747,18931,1471
2021-07-03,Johor,2153657,687429,1983858,1193,168606,0,0,113689,386895,498784,42875
2021-07-03,Kedah,989636,357658,898754,916,89966,0,0,45543,190364,277403,21675
2021-07-03,Kelantan,654597,233395,556262,440,97895,0,0,29481,124928,181033,13772
2021-07-03,Melaka,542583,189626,514901,480,27202,0,0,30068,102429,146169,14608
2021-07-03,Negeri Sembilan,671565,242165,629830,634,41101,0,0,37761,130495,189149,14995
2021-07-03,Pahang,796010,274930,659772,641,135597,0,0,39823,150052,206656,17474
