date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-02-27,W.P. Kuala Lumpur,224,0,224,0,0,1135,0,1135,0,0,224,0,0,0,0,0,0,0
2021-02-27,W.P. Labuan,136,0,136,0,0,138,0,138,0,0,136,0,0,0,0,0,0,0
2021-02-27,W.P. Putrajaya,6,0,6,0,0,98,0,98,0,0,6,0,0,0,0,0,0,0
2021-02-28,Johor,827,0,827,0,0,908,0,908,0,0,827,0,0,0,0,0,0,0
2021-02-28,Kedah,786,0,786,0,0,830,0,830,0,0,786,0,0,0,0,0,0,0
2021-02-28,Kelantan,162,0,162,0,0,162,0,162,0,0,162,0,0,0,0,0,0,0
2021-02-28,Melaka,0,0,0,0,0,275,0,275,0,0,0,0,0,0,0,0,0,0
2021-02-28,Negeri Sembilan,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-02-28,Pahang,100,0,100,0,0,2761,0,2761,0,0,100,0,0,0,0,0,0,0
2021-02-28,Perak,134,0,134,0,0,1254,0,1254,0,0,134,0,0,0,0,0,0,0
2021-02-28,Perlis,0,0,0,0,0,168,0,168,0,0,0,0,0,0,0,0,0,0
2021-02-28,Pulau Pinang,12,0,12,0,0,340,0,340,0,0,12,0,0,0,0,0,0,0
2021-02-28,Sabah,465,0,465,0,0,1041,0,1041,0,0,465,0,0,0,0,0,0,0
2021-02-28,Sarawak,3161,3,3164,0,0,8162,4,8166,0,0,3161,3,0,0,0,0,0,0
2021-02-28,Selangor,66,0,66,0,0,473,0,473,0,0,66,0,0,0,0,0,0,0
2021-02-28,Terengganu,472,0,472,0,0,484,0,484,0,0,472,0,0,0,0,0,0,0
2021-02-28,W.P. Kuala Lumpur,150,0,150,0,0,1285,0,1285,0,0,150,0,0,0,0,0,0,0
2021-02-28,W.P. Labuan,363,0,363,0,0,501,0,501,0,0,363,0,0,0,0,0,0,0
2021-02-28,W.P. Putrajaya,1,0,1,0,0,99,0,99,0,0,1,0,0,0,0,0,0,0
2021-03-01,Johor,2146,0,2146,0,0,3054,0,3054,0,0,2146,0,0,0,0,0,0,0
2021-03-01,Kedah,1068,0,1068,0,0,1898,0,1898,0,0,1068,0,0,0,0,0,0,0
2021-03-01,Kelantan,1798,0,1798,0,0,1960,0,1960,0,0,1798,0,0,0,0,0,0,0
2021-03-01,Melaka,157,0,157,0,0,432,0,432,0,0,157,0,0,0,0,0,0,0
2021-03-01,Negeri Sembilan,586,0,586,0,0,586,1,587,0,0,586,0,0,0,0,0,0,0
2021-03-01,Pahang,1209,1,1210,0,0,3970,1,3971,0,0,1209,1,0,0,0,0,0,0
2021-03-01,Perak,1889,1,1890,0,0,3143,1,3144,0,0,1889,1,0,0,0,0,0,0
2021-03-01,Perlis,356,0,356,0,0,524,0,524,0,0,356,0,0,0,0,0,0,0
